Date,Open
"Oct 31, 2019",1.2903
"Oct 30, 2019",1.2866
"Oct 29, 2019",1.2864
"Oct 28, 2019",1.2827
"Oct 25, 2019",1.285
"Oct 24, 2019",1.2912
"Oct 23, 2019",1.2872
"Oct 22, 2019",1.2958
"Oct 21, 2019",1.2926
"Oct 18, 2019",1.289
"Oct 17, 2019",1.2832
"Oct 16, 2019",1.2787
"Oct 15, 2019",1.2609
"Oct 14, 2019",1.2625
"Oct 11, 2019",1.2441
"Oct 10, 2019",1.2207
"Oct 09, 2019",1.2218
"Oct 08, 2019",1.229
"Oct 07, 2019",1.2327
"Oct 04, 2019",1.2332
"Oct 03, 2019",1.2306
"Oct 02, 2019",1.2307
"Oct 01, 2019",1.2287
